Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Rasheed Wallace,25,PF,81,77,35.1,6.7,12.9,0.519,0.1,0.6,0.16,6.6,12.3,0.537,0.522,2.9,4.1,0.704,1.6,5.4,7,1.8,1.1,1.3,1.9,2.7,16.4,AS
2,Scottie Pippen,34,SF,82,82,33.5,4.7,10.5,0.451,1,3.2,0.327,3.7,7.3,0.506,0.501,2,2.7,0.717,1.4,4.9,6.3,5,1.4,0.5,2.5,2.5,12.5,"DPOY-8,DEF2"
3,Steve Smith,30,SG,82,81,32.8,5.1,11,0.467,1.2,2.9,0.398,4,8,0.492,0.52,3.5,4.1,0.85,1.5,2.3,3.8,2.5,0.9,0.4,1.4,2.6,14.9,
4,Damon Stoudamire,26,PG,78,78,30.4,4.9,11.5,0.432,1,2.7,0.377,3.9,8.7,0.449,0.477,1.6,1.9,0.841,0.8,2.3,3.1,5.2,1,0,1.9,2.2,12.5,
5,Arvydas Sabonis,35,C,66,61,25.6,4.6,9.1,0.505,0.1,0.3,0.368,4.5,8.8,0.509,0.511,2.5,3,0.843,1.5,6.3,7.8,1.8,0.7,1.2,1.5,2.8,11.8,
6,Detlef Schrempf,37,SF,77,6,21.6,2.4,5.6,0.432,0.3,0.7,0.404,2.2,4.9,0.436,0.456,2.3,2.8,0.833,1,3.3,4.3,2.6,0.5,0.2,1.3,2.4,7.5,
7,Brian Grant,27,PF,63,14,21,2.7,5.6,0.491,0,0,0.5,2.7,5.6,0.491,0.493,1.8,2.6,0.675,1.9,3.5,5.5,1,0.5,0.4,1.3,2.6,7.3,
8,Greg Anthony,32,PG,82,3,18.9,2.1,5.1,0.406,1.1,2.8,0.378,1,2.2,0.443,0.512,1.1,1.4,0.772,0.2,1.4,1.6,2.5,0.7,0.1,1,1.7,6.3,
9,Bonzi Wells,23,SF,66,0,17.6,3.6,7.3,0.492,0.3,0.8,0.377,3.3,6.5,0.506,0.513,1.3,2,0.682,1.2,1.6,2.8,1.5,1,0.2,1.5,2.3,8.8,
10,Jermaine O'Neal,21,C,70,8,12.3,1.5,3.2,0.486,0,0,0,1.5,3.2,0.489,0.486,0.8,1.4,0.582,1.4,1.9,3.3,0.3,0.2,0.8,0.7,1.8,3.9,
11,Stacey Augmon,31,SG,59,0,11.7,1.4,3,0.474,0,0,0,1.4,2.9,0.48,0.474,0.6,0.9,0.673,0.7,1.3,2,0.9,0.5,0.2,0.6,1.2,3.4,
12,Gary Grant,34,PG,3,0,8,2,4.7,0.429,0,0,,2,4.7,0.429,0.429,0,0,,0,1,1,0.3,0.3,0,0.7,1,4,
13,Antonio Harvey,29,PF,19,0,7.2,0.9,1.6,0.567,0,0,,0.9,1.6,0.567,0.567,0.4,0.6,0.583,0.4,1.3,1.7,0.3,0.1,0.3,0.6,1.1,2.2,
14,Joe Kleine,38,C,7,0,4.4,0.6,1.6,0.364,0,0,,0.6,1.6,0.364,0.364,0.4,0.4,1,0,0.9,0.9,0.3,0.1,0,0.3,1,1.6,
,Team Totals,,,82,82,241.2,36.8,78.4,0.47,5,13.8,0.361,31.9,64.7,0.493,0.501,18.8,24.7,0.76,11.8,31.2,43,23.5,7.7,4.8,15.2,22.7,97.5,
