Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Elton Brand,20,PF,81,80,37,7.8,16.1,0.482,0,0,0,7.8,16.1,0.483,0.482,4.5,6.6,0.685,4.3,5.7,10,1.9,0.8,1.6,2.8,3.2,20.1,ROY-1
2,Toni Kukoč,31,SF,24,23,36.2,6.2,16.2,0.381,0.8,3.3,0.231,5.4,12.9,0.419,0.405,4.9,6.5,0.761,1.5,3.9,5.4,5.2,1.8,0.8,3.1,2.1,18,
3,Rusty LaRue,26,PG,4,1,32.3,3.8,10.8,0.349,0.5,3.5,0.143,3.3,7.3,0.448,0.372,1.3,1.8,0.714,0.3,2.3,2.5,2.8,1.8,0,1.8,2.3,9.3,
4,Metta World Peace,20,SF,72,63,31.1,4.3,10.5,0.407,0.8,2.7,0.314,3.5,7.9,0.438,0.447,2.6,3.9,0.674,0.9,3.4,4.3,2.8,1.7,0.5,2.3,2.2,12,
5,Randy Brown,31,PG,59,55,27.5,2.7,7.4,0.361,0.1,0.1,0.5,2.6,7.3,0.359,0.364,1.1,1.4,0.738,0.4,2.1,2.4,3.4,1,0.3,1.8,2,6.4,
6,Fred Hoiberg,27,SG,31,11,27.3,2.9,7.4,0.387,1,3,0.34,1.8,4.4,0.419,0.457,2.2,2.5,0.908,0.2,3.3,3.5,2.7,1.3,0.1,1.4,2.1,9,
7,Hersey Hawkins,33,SG,61,49,26.6,2.6,6.1,0.424,0.9,2.3,0.39,1.7,3.8,0.444,0.497,1.8,2,0.899,0.5,2.4,2.9,2.2,1.2,0.2,1.6,2.4,7.9,
8,Dickey Simpkins,27,PF,69,48,23.9,1.6,4,0.405,0,0,0,1.6,4,0.407,0.405,0.9,1.7,0.542,1.8,3.6,5.4,1.4,0.3,0.3,1.9,3.1,4.2,
9,Matt Maloney,28,PG,51,12,23,2.2,6.2,0.358,1.2,3.4,0.356,1,2.8,0.361,0.456,0.7,0.9,0.822,0.2,1.1,1.3,2.7,0.6,0.1,1.2,0.8,6.4,
10,Chris Carr,25,SF,50,2,21.8,3.7,9.3,0.4,0.6,1.9,0.333,3.1,7.4,0.416,0.433,1.8,2.1,0.858,0.7,2.5,3.2,1.6,0.6,0.3,2.2,2,9.8,
11,B.J. Armstrong,32,PG,27,18,21.6,3.1,6.9,0.446,0.5,1.1,0.448,2.6,5.8,0.446,0.481,0.8,0.9,0.88,0.1,1.7,1.7,2.9,0.3,0,1.5,1.3,7.4,
12,John Starks,34,SG,4,0,20.5,2.8,8.5,0.324,0.8,2.5,0.3,2,6,0.333,0.368,1.3,1.3,1,0,2.5,2.5,2.8,1.3,0.3,0.8,2.3,7.5,
13,Dedric Willoughby,25,PG,25,1,20.3,2.4,7.2,0.341,1.2,3.9,0.296,1.3,3.2,0.395,0.422,1.6,2,0.765,0.4,1.6,2,2.6,0.9,0.1,1.5,1.3,7.6,
14,Corey Benjamin,21,SG,48,10,18,3,7.3,0.414,0.6,1.9,0.348,2.4,5.4,0.437,0.459,1,1.7,0.598,0.4,1.4,1.8,1.1,0.6,0.5,1.5,2.5,7.7,
15,Kornél Dávid,28,SF,26,5,17,2.4,5.7,0.426,0,0.1,0,2.4,5.6,0.434,0.426,1.6,2,0.808,0.8,2,2.8,0.6,0.5,0.1,1.2,1.9,6.5,
16,Khalid Reeves,27,PG,3,0,16,1,4,0.25,0,1,0,1,3,0.333,0.25,1.7,1.7,1,0.7,0.7,1.3,4.3,0.7,0,2,2.7,3.7,
17,Will Perdue,34,C,67,15,15.1,0.9,2.5,0.351,0,0,,0.9,2.5,0.351,0.351,0.7,1.6,0.476,1.3,2.6,3.9,1,0.2,0.6,1.2,1.9,2.5,
18,Chris Anstey,25,C,73,11,13.8,2.2,5,0.442,0,0.1,0.167,2.2,4.9,0.447,0.444,1.6,2,0.789,1.2,2.6,3.8,0.9,0.4,0.3,1.1,2.5,6,
19,Michael Ruffin,23,PF,71,6,13.7,0.8,1.9,0.42,0,0,,0.8,1.9,0.42,0.42,0.6,1.2,0.489,1.6,1.9,3.5,0.6,0.4,0.4,0.8,2.4,2.2,
20,Lari Ketner,22,PF,6,0,6.8,0.7,1.7,0.4,0,0,,0.7,1.7,0.4,0.4,0.3,0.3,1,0,1.2,1.2,0.2,0.2,0.2,0.5,1.3,1.7,
,Team Totals,,,82,82,241.5,31.3,75.4,0.415,4.1,12.6,0.329,27.1,62.8,0.432,0.443,18.1,25.5,0.709,12.6,28.3,40.9,20.1,7.9,4.7,19,23.3,84.8,
