Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Lamond Murray,26,SF,74,72,32,6.2,13.8,0.451,0.7,1.9,0.367,5.5,11.9,0.465,0.476,2.8,3.6,0.761,1.7,4,5.7,1.8,1.4,0.5,2.5,2.8,15.9,
2,Shawn Kemp,30,C,82,82,30.4,5.9,14.1,0.417,0,0.1,0.333,5.9,14.1,0.418,0.418,6,7.7,0.776,2.8,6,8.8,1.7,1.2,1.2,3.5,4.5,17.8,
3,Bob Sura,26,SG,73,45,30.4,4.9,11.2,0.437,1.7,4.5,0.367,3.2,6.6,0.484,0.512,2.4,3.4,0.697,0.7,3.3,3.9,3.9,1.2,0.3,2,2.8,13.8,
4,Brevin Knight,24,PG,65,46,27,3.5,8.6,0.412,0,0.2,0.2,3.5,8.4,0.416,0.414,2.2,2.8,0.761,0.6,2.4,3,7,1.6,0.3,2.4,2.8,9.3,
5,Wesley Person,28,SG,79,38,26,3.5,8.3,0.428,1.3,3.2,0.424,2.2,5.1,0.431,0.509,0.8,1,0.792,0.6,2.8,3.4,1.8,0.5,0.2,0.8,1.5,9.2,
6,Andre Miller,23,PG,82,36,25.5,4.1,9.2,0.449,0.1,0.6,0.204,4,8.6,0.466,0.456,2.8,3.6,0.774,1,2.4,3.4,5.8,1,0.2,2,2.4,11.1,ROY-4
7,Mark Bryant,34,PF,75,50,22.8,2.3,4.6,0.503,0,0,,2.3,4.6,0.503,0.503,1,1.3,0.809,1.7,3,4.7,0.8,0.4,0.4,1.2,3.3,5.7,
8,Andrew DeClercq,26,C,82,31,22.3,2.7,5.4,0.508,0,0,,2.7,5.4,0.508,0.508,1.1,2,0.588,1.9,3.5,5.4,0.7,0.8,0.8,1.3,3.4,6.6,
9,Danny Ferry,33,PF,63,3,21,3,6,0.497,0.5,1.2,0.44,2.5,4.8,0.511,0.541,0.8,0.9,0.912,0.9,2.9,3.8,1.1,0.3,0.4,0.9,2.9,7.3,
10,Cedric Henderson,24,SF,61,7,18.1,2.1,5.3,0.396,0,0.2,0.067,2.1,5.1,0.412,0.397,1.1,1.7,0.663,0.6,1.7,2.3,0.9,0.6,0.3,1.1,1.6,5.4,
11,Trajan Langdon,23,SG,10,0,14.5,1.5,4,0.375,0.8,1.9,0.421,0.7,2.1,0.333,0.475,1.1,1.1,1,0.4,1.1,1.5,1.1,0.5,0,0.6,1.6,4.9,
12,Earl Boykins,23,PG,25,0,10.1,2.1,4.5,0.473,0.3,0.8,0.4,1.8,3.7,0.489,0.509,0.7,0.9,0.783,0.4,0.6,1,1.8,0.5,0,0.7,0.9,5.3,
13,Ryan Stack,24,PF,25,0,7.9,0.7,2,0.333,0,0,0,0.7,2,0.34,0.333,0.7,1.1,0.667,0.6,1.2,1.8,0.2,0.2,0.4,0.7,1.9,2.1,
14,A.J. Bramlett,23,C,8,0,7.6,0.5,2.6,0.19,0,0,,0.5,2.6,0.19,0.19,0,0,,1.5,1.3,2.8,0,0.1,0,0.4,1.6,1,
15,Donny Marshall,27,SF,6,0,6.5,0.5,1.8,0.273,0,0.5,0,0.5,1.3,0.375,0.273,0.8,1,0.833,0,0.2,0.2,0,0.3,0,0.5,1.2,1.8,
16,Lari Ketner,22,PF,16,0,5.7,0.6,1.4,0.409,0,0,,0.6,1.4,0.409,0.409,0.4,0.6,0.6,0.8,0.9,1.7,0,0.2,0.1,0.4,0.8,1.5,
17,Kornél Dávid,28,SF,6,0,5.2,0.7,1.5,0.444,0,0,,0.7,1.5,0.444,0.444,0.5,0.7,0.75,0.7,0.7,1.3,0.2,0.7,0.2,0.3,1.2,1.8,
18,Pete Chilcutt,31,PF,6,0,5,0,0.3,0,0,0,,0,0.3,0,0,0,0,,0.7,0.8,1.5,0.2,0,0,0,0.5,0,
19,Mark Hendrickson,25,PF,10,0,4.7,0.5,0.7,0.714,0,0,,0.5,0.7,0.714,0.714,0.2,0.2,1,0.2,0.9,1.1,0.3,0.2,0.1,0.3,0.7,1.2,
20,Benoit Benjamin,35,C,3,0,2.7,0.3,1,0.333,0,0,,0.3,1,0.333,0.333,0,0,,0,0.3,0.3,0,0,0.3,0,0.3,0.7,
,Team Totals,,,82,82,242.1,36.3,82.1,0.442,4.2,11.2,0.373,32.1,70.9,0.453,0.468,20.2,26.9,0.75,12.3,30.5,42.8,23.7,8.7,4.4,17.4,27.1,97,
