Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Lamar Odom,20,SF,76,70,36.4,5.9,13.5,0.438,0.8,2.2,0.36,5.1,11.3,0.453,0.467,4,5.5,0.719,2.1,5.7,7.8,4.2,1.2,1.3,3.4,3.8,16.6,ROY-3
2,Maurice Taylor,23,PF,62,60,35.9,7.4,15.9,0.464,0,0.1,0.125,7.4,15.8,0.466,0.464,2.3,3.2,0.711,1.5,4.9,6.5,1.6,0.8,0.8,2.7,3.5,17.1,
3,Derek Anderson,25,SG,64,58,34.4,5.9,13.4,0.438,0.9,2.8,0.309,5,10.7,0.472,0.47,4.2,4.8,0.877,1.3,2.8,4,3.4,1.4,0.2,2.6,2.3,16.9,
4,Tyrone Nesby,24,SG,73,39,31.7,5,12.5,0.398,1.3,3.8,0.335,3.7,8.7,0.426,0.449,2.1,2.6,0.791,1.1,2.6,3.8,1.7,1,0.4,1.4,2.8,13.3,
5,Michael Olowokandi,24,C,80,77,31.2,4.1,9.5,0.437,0,0,,4.1,9.5,0.437,0.437,1.5,2.4,0.651,2.4,5.8,8.2,0.5,0.4,1.8,2.2,3.8,9.8,
6,Troy Hudson,23,PG,62,38,25.7,3.3,8.7,0.377,1,3.1,0.311,2.3,5.6,0.414,0.433,1.2,1.5,0.811,0.5,1.9,2.4,3.9,0.7,0,1.7,1,8.8,
7,Jeff McInnis,25,PG,25,10,23.9,3.2,7.4,0.43,0.3,0.8,0.333,2.9,6.6,0.442,0.449,0.5,0.7,0.765,0.7,2.2,2.9,3.6,0.6,0.1,1.1,2.2,7.2,
8,Brian Skinner,23,PF,33,9,23.5,2.1,4.1,0.507,0,0,,2.1,4.1,0.507,0.507,1.3,2,0.662,1.9,4.2,6.1,0.3,0.5,1.3,1.1,2.3,5.4,
9,Eric Piatkowski,29,SF,75,23,22.8,3.2,7.6,0.415,1.2,3.2,0.383,1.9,4.4,0.439,0.497,1.1,1.3,0.85,1,2,3,1.1,0.6,0.2,0.8,1.9,8.7,
10,Eric Murdock,31,PG,40,15,17.3,2,5.1,0.385,0.4,1.1,0.381,1.6,4.1,0.387,0.424,1.3,2,0.638,0.4,1.6,1.9,2.7,1.2,0.1,1.5,1.7,5.6,
11,Pete Chilcutt,31,PF,24,2,14.5,1.3,2.6,0.492,0.2,0.7,0.313,1.1,2,0.553,0.532,0.3,0.3,1,1.1,2.2,3.3,0.7,0.4,0.3,0.5,1.6,3,
12,Keith Closs,23,C,57,6,14.4,1.7,3.5,0.487,0,0.1,0,1.7,3.4,0.495,0.487,0.8,1.4,0.59,1.1,2,3.1,0.4,0.2,1.3,0.6,1.4,4.2,
13,Charles Jones,24,PG,56,0,11.8,1.2,3.6,0.328,0.7,2.1,0.331,0.5,1.5,0.325,0.425,0.3,0.4,0.739,0.3,0.8,1.1,1.7,0.5,0.1,0.5,0.8,3.4,
14,Etdrick Bohannon,26,PF,11,0,10.3,0.6,1.2,0.538,0,0,,0.6,1.2,0.538,0.538,1.1,1.8,0.6,1.1,1.6,2.7,0.5,0.2,0.5,0.7,2.2,2.4,
15,Anthony Avent,30,PF,49,3,7.7,0.6,2,0.302,0,0,,0.6,2,0.302,0.302,0.5,0.7,0.719,0.5,1,1.5,0.2,0.3,0.3,0.5,1.3,1.7,
16,Marty Conlon,32,C,3,0,3,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0,0,,0.3,0.3,0.7,0,0,0,0,0.3,0.7,
17,Mario Bennett,26,PF,1,0,3,0,3,0,0,0,,0,3,0,0,0,0,,1,1,2,0,0,0,0,1,0,
,Team Totals,,,82,82,240.3,35.1,82.4,0.426,5.2,15.5,0.339,29.9,67,0.446,0.458,16.6,22.3,0.746,11.6,29,40.6,18,7,6,16.2,22.2,92,
