Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Shareef Abdur-Rahim,23,SF,82,82,39.3,7.2,15.6,0.465,0.4,1.2,0.302,6.9,14.4,0.478,0.477,5.4,6.7,0.809,2.7,7.4,10.1,3.3,1.1,1.1,3,3,20.3,
2,Mike Bibby,21,PG,82,82,38.5,5.6,12.6,0.445,0.9,2.6,0.363,4.7,10,0.466,0.483,2.4,3,0.78,0.9,2.8,3.7,8.1,1.6,0.2,3,2.1,14.5,
3,Michael Dickerson,24,SG,82,82,37.8,6.8,15.5,0.436,1.5,3.5,0.409,5.3,11.9,0.444,0.483,3.3,4,0.83,1,2.5,3.4,2.5,1.4,0.5,2,2.8,18.2,
4,Othella Harrington,26,PF,82,82,32.6,5.1,10.1,0.506,0,0,0,5.1,10.1,0.507,0.506,2.9,3.6,0.792,2.4,4.5,6.9,1.2,0.4,0.7,2.6,3.5,13.1,
5,Bryant Reeves,26,C,69,67,25.7,3.7,8.1,0.448,0,0.1,0,3.7,8.1,0.452,0.448,1.6,2.4,0.648,1.8,3.8,5.7,1.2,0.5,0.6,1.7,3.6,8.9,
6,Grant Long,33,PF,42,1,21.9,1.8,4,0.443,0,0.1,0,1.8,3.9,0.454,0.443,1.3,1.7,0.775,2,3.5,5.6,1,1.1,0.2,1.2,2.6,4.8,
7,Dennis Scott,31,SF,66,0,19.1,1.9,5,0.375,1.1,2.9,0.376,0.8,2.2,0.375,0.482,0.7,0.9,0.842,0.2,1.4,1.6,1,0.4,0.1,0.5,1.6,5.6,
8,Doug West,32,SG,38,0,15.3,1.6,3.8,0.407,0,0.1,0,1.6,3.7,0.415,0.407,0.9,1.1,0.85,0.5,1.4,1.9,1.1,0.3,0.2,0.5,2.1,4,
9,Cherokee Parks,27,C,56,14,14.4,1.3,2.6,0.497,0,0,0,1.3,2.6,0.5,0.497,0.4,0.7,0.649,1,2.3,3.3,0.6,0.5,0.8,0.5,2.1,3,
10,Joe Stephens,27,SF,13,0,13.9,1.5,3.9,0.373,0,0.6,0,1.5,3.3,0.442,0.373,0.2,0.3,0.75,1,1.8,2.8,0.8,0.5,0.2,0.5,0.7,3.2,
11,Felipe López,25,SG,65,0,12,1.7,4,0.425,0,0.3,0.167,1.7,3.7,0.444,0.431,1,1.7,0.615,0.9,1,1.9,0.7,0.5,0.3,0.8,1.4,4.5,
12,Antoine Carr,38,SF,21,0,10.5,1.3,3,0.438,0,0,,1.3,3,0.438,0.438,0.5,0.7,0.786,0.4,1.1,1.5,0.3,0.1,0.3,0.4,2,3.2,
13,Brent Price,31,PG,41,0,10.3,1,2.9,0.345,0.6,1.7,0.368,0.4,1.2,0.314,0.45,0.8,1,0.872,0.2,0.7,0.9,1.7,0.4,0,1.1,1.5,3.4,
14,Obinna Ekezie,24,PF,39,0,9,1.1,2.3,0.466,0,0,,1.1,2.3,0.466,0.466,1.1,1.6,0.672,0.9,1.5,2.4,0.2,0.2,0.1,0.7,1.6,3.2,
15,Milt Palacio,21,PG,53,0,7.4,0.8,1.8,0.439,0,0,0,0.8,1.8,0.448,0.439,0.4,0.7,0.595,0.3,0.6,1,0.9,0.4,0,0.8,0.6,2,
,Team Totals,,,82,82,242.1,35.3,78.5,0.449,4,11,0.361,31.3,67.6,0.463,0.474,19.4,25.1,0.774,12.3,28.3,40.6,20.7,7.4,4.2,16.8,22.9,93.9,
