Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Dikembe Mutombo,33,C,82,82,36.4,3.9,7,0.562,0,0,,3.9,7,0.562,0.562,3.6,5.1,0.708,3.7,10.4,14.1,1.3,0.3,3.3,2.1,3,11.5,"DPOY-3,AS"
2,Jim Jackson,29,SF,79,76,35,6.4,15.6,0.411,1.5,3.8,0.386,4.9,11.8,0.418,0.458,2.4,2.7,0.877,1.3,3.7,5,2.9,0.7,0.1,2.3,2.1,16.7,
3,Isaiah Rider,28,SG,60,47,34.7,7.5,17.9,0.419,0.9,3,0.311,6.6,14.9,0.441,0.445,3.4,4.3,0.785,1.1,3.3,4.3,3.7,0.7,0.1,2.8,2.2,19.3,
4,Alan Henderson,27,PF,82,82,33.8,5.2,11.3,0.461,0,0.1,0.1,5.2,11.2,0.465,0.462,2.7,4.1,0.671,3.2,3.7,7,0.9,1,0.7,1.7,2.8,13.2,
5,Bimbo Coles,31,PG,80,54,24.1,3.5,7.6,0.455,0.1,0.5,0.205,3.4,7.1,0.472,0.461,1.1,1.3,0.817,0.4,1.8,2.2,3.6,0.7,0.1,1.3,2.2,8.1,
6,Jason Terry,22,PG,81,27,23.3,3.1,7.4,0.415,0.6,1.9,0.293,2.5,5.5,0.458,0.453,1.4,1.7,0.807,0.3,1.8,2,4.3,1.1,0.1,1.9,1.6,8.1,
7,LaPhonso Ellis,29,PF,58,8,22.6,3.6,8,0.45,0.1,0.4,0.143,3.6,7.6,0.465,0.454,1.1,1.6,0.695,1.7,3.3,5,1,0.6,0.4,0.9,2.3,8.4,
8,Roshown McLeod,24,SF,44,20,19.5,3,7.5,0.395,0,0.3,0.154,2.9,7.3,0.404,0.398,1.2,1.6,0.771,0.9,2.2,3.1,1.2,0.4,0.1,1.3,1.9,7.2,
9,Lorenzen Wright,24,C,75,0,16.1,2.4,4.8,0.499,0,0,0.333,2.4,4.8,0.5,0.5,1.2,1.8,0.644,1.6,2.5,4.1,0.3,0.4,0.5,0.9,2.7,6,
10,Dion Glover,21,SG,30,1,14.9,2.2,5.7,0.386,0.4,1.5,0.267,1.8,4.2,0.429,0.421,1.7,2.3,0.729,0.5,0.8,1.3,0.9,0.5,0.1,0.9,0.9,6.5,
11,Chris Crawford,24,PF,55,11,12.1,1.7,4.2,0.397,0.1,0.5,0.259,1.5,3.7,0.416,0.413,1.1,1.5,0.778,0.9,0.9,1.8,0.6,0.3,0.3,0.7,1.5,4.6,
12,Anthony Johnson,25,PG,38,2,11.1,0.9,2.7,0.35,0,0.2,0.167,0.9,2.6,0.361,0.354,0.5,0.6,0.792,0.4,0.6,1,1.6,0.6,0.1,0.6,1.1,2.4,
13,Drew Barry,26,PG,8,0,9.3,0.8,1.9,0.4,0.5,1.1,0.444,0.3,0.8,0.333,0.533,0.4,0.4,1,0,0.5,0.5,2,0,0,0.9,1.1,2.4,
14,Cal Bowdler,22,SF,46,0,9.2,1.1,2.5,0.426,0,0,0,1.1,2.5,0.43,0.426,0.5,0.8,0.632,0.5,1.4,1.8,0.3,0.3,0.2,0.5,1,2.7,
,Team Totals,,,82,82,241.8,36.6,83,0.441,3.1,9.9,0.317,33.4,73.1,0.458,0.46,18,24.2,0.743,14,31.3,45.3,18.9,6.1,5.6,15.4,21,94.3,
