Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Eddie Jones,28,SG,72,72,39,6.6,15.5,0.427,1.8,4.7,0.375,4.9,10.8,0.45,0.484,5,5.8,0.864,1.1,3.6,4.8,4.2,2.7,0.7,2.2,2.4,20.1,"DPOY-3,AS,NBA3,DEF2"
2,Anthony Mason,33,SF,82,81,38.2,3.9,8.1,0.48,0,0,0,3.9,8,0.48,0.48,3.8,5.1,0.746,1.8,6.8,8.5,4.5,0.9,0.4,2,2.7,11.6,DPOY-8
3,David Wesley,29,PG,82,82,33.7,5,11.6,0.426,1.1,3,0.355,3.9,8.6,0.451,0.472,2.6,3.4,0.778,0.5,2.3,2.7,5.6,1.3,0.1,1.9,2.3,13.6,
4,Elden Campbell,31,C,78,77,32.5,4.7,10.6,0.446,0,0.1,0,4.7,10.6,0.45,0.446,3.2,4.6,0.69,2.2,5.4,7.6,1.7,0.7,1.9,1.6,3.4,12.7,
5,Derrick Coleman,32,PF,74,64,31.7,6,13.2,0.456,0.7,1.9,0.362,5.3,11.3,0.471,0.482,4,5.1,0.785,1.7,6.9,8.5,2.4,0.5,1.8,2.3,2.6,16.7,
6,Bobby Phills,30,SG,28,9,29.5,5.4,12,0.454,1.1,3.3,0.33,4.4,8.7,0.5,0.499,1.7,2.3,0.723,0.6,1.9,2.5,2.8,1.5,0.3,1.7,2.6,13.6,
7,Baron Davis,20,PG,82,0,18.6,2.2,5.3,0.42,0.3,1.4,0.225,1.9,3.9,0.488,0.449,1.2,1.9,0.634,0.6,1.4,2,3.8,1.2,0.2,1.7,2.5,5.9,
8,Brad Miller,23,C,55,4,17.5,2.5,5.3,0.461,0,0,0,2.5,5.3,0.464,0.461,2.8,3.5,0.785,2.1,3.3,5.3,0.8,0.4,0.6,0.9,2,7.7,
9,Eddie Robinson,23,SF,67,8,16.6,3.2,5.8,0.549,0,0.1,0,3.2,5.7,0.555,0.549,0.7,1,0.734,0.8,1.9,2.7,0.5,0.7,0.4,0.6,1,7,
10,Chucky Brown,31,PF,33,2,15,2,4.6,0.434,0,0.2,0.143,2,4.4,0.448,0.438,0.3,0.6,0.524,0.7,2,2.7,0.8,0.4,0.2,0.5,1.8,4.4,
11,Ricky Davis,20,SG,48,4,11.9,2,3.9,0.503,0,0.1,0,2,3.8,0.514,0.503,0.8,1.1,0.765,0.6,1.1,1.7,1.3,0.6,0.2,1,0.8,4.7,
12,Dale Ellis,39,SG,24,5,10,0.8,2.4,0.328,0.6,1.5,0.4,0.2,1,0.217,0.448,0.1,0.2,0.75,0.3,0.7,0.9,0.3,0.3,0,0.5,0.9,2.3,
13,Todd Fuller,25,C,41,2,9.7,1.2,3,0.418,0,0,,1.2,3,0.418,0.418,0.8,1.3,0.604,0.9,1.8,2.7,0.1,0.2,0.2,0.7,1.1,3.3,
14,Eldridge Recasner,32,PG,7,0,4,0.4,1,0.429,0.1,0.6,0.25,0.3,0.4,0.667,0.5,0,0,,0,0.6,0.6,0.7,0,0,0,0.1,1,
15,Michael Hawkins,27,PG,12,0,3,0.3,1.1,0.231,0.1,0.4,0.2,0.2,0.7,0.25,0.269,0.1,0.2,0.5,0,0.6,0.6,1.1,0,0,0.3,0.2,0.7,
16,Jason Miskiri,24,PG,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,1,0,0,0,2,0,
17,Derek Hood,23,PF,2,0,2,0,1.5,0,0,0,,0,1.5,0,0,0,0,,0,0.5,0.5,0,0,0,0,0,0,
,Team Totals,,,82,82,241.2,35.8,79.7,0.449,4.1,12.2,0.339,31.7,67.5,0.469,0.475,22.7,30,0.758,10.8,32.1,42.9,24.7,8.9,5.9,14.7,20.4,98.4,
