Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Chris Webber,26,PF,75,75,38.4,10,20.6,0.483,0.4,1.3,0.284,9.6,19.4,0.496,0.492,4.1,5.5,0.751,2.5,8,10.5,4.6,1.6,1.7,2.9,3.5,24.5,"MVP-9,AS,NBA3"
2,Jason Williams,24,PG,81,81,34.1,4.5,12,0.373,1.8,6.2,0.287,2.7,5.8,0.466,0.448,1.6,2.1,0.753,0.3,2.6,2.8,7.3,1.4,0.1,3.7,1.7,12.3,
3,Nick Anderson,32,SG,72,72,29.1,4.3,10.9,0.391,1.8,5.5,0.332,2.4,5.3,0.452,0.476,0.5,1.1,0.487,1.2,3.6,4.7,1.7,1.3,0.2,1.3,1.6,10.8,
4,Vlade Divac,31,C,82,81,29,4.7,9.3,0.503,0.1,0.3,0.269,4.6,9,0.511,0.507,2.8,4.1,0.691,2.1,5.9,8,3,1.3,1.3,2.3,3.1,12.3,
5,Ryan Robertson,23,SG,1,0,25,2,6,0.333,0,2,0,2,4,0.5,0.333,1,1,1,0,0,0,0,0,0,0,0,5,
6,Peja Stojaković,22,SF,74,11,23.6,4.3,9.7,0.448,1.4,3.6,0.375,3,6.1,0.491,0.517,1.8,2.1,0.882,1,2.7,3.7,1.4,0.7,0.1,1.2,1.3,11.9,6MOY-6
7,Corliss Williamson,26,SF,76,76,22.5,4.1,8.2,0.5,0,0,,4.1,8.2,0.5,0.5,2.1,2.8,0.769,1.6,2.2,3.8,1.1,0.5,0.3,1.4,2.5,10.3,
8,Jon Barry,30,SG,62,1,20.7,2.6,5.6,0.465,1.1,2.5,0.429,1.5,3.1,0.495,0.561,1.7,1.9,0.922,0.6,2,2.6,2.4,1.2,0.1,1.4,1.7,8,
9,Scot Pollard,24,C,76,5,17.6,2,3.7,0.527,0,0,,2,3.7,0.527,0.527,1.5,2.1,0.717,2.2,3.1,5.3,0.6,0.7,0.8,0.7,2.8,5.4,
10,Tyrone Corbin,37,SF,54,5,17.4,1.6,4.6,0.356,0.2,0.8,0.227,1.4,3.8,0.384,0.377,0.6,0.7,0.846,0.7,2.3,3.1,1.1,0.7,0.1,0.5,1.8,4.1,
11,Tony Delk,26,PG,46,1,14.8,2.6,6.1,0.43,0.2,0.9,0.225,2.4,5.2,0.464,0.446,1,1.3,0.797,0.8,1.1,1.9,1.2,0.8,0.1,0.7,1.3,6.4,
12,Lawrence Funderburke,29,PF,75,1,13.7,2.5,4.7,0.523,0,0,0,2.5,4.7,0.526,0.523,1.5,2.2,0.706,1.3,1.8,3.1,0.4,0.4,0.3,0.5,1.2,6.4,
13,Darrick Martin,28,PG,71,1,12.6,1.9,4.9,0.38,0.5,1.7,0.306,1.3,3.2,0.42,0.434,1.4,1.7,0.824,0.1,0.5,0.6,1.7,0.4,0,0.9,1.3,5.7,
14,Bill Wennington,36,C,7,0,8.1,0.9,2.7,0.316,0,0,,0.9,2.7,0.316,0.316,0.3,0.3,1,0.7,2,2.7,0.1,0.3,0.3,0.1,1.9,2,
,Team Totals,,,82,82,241.5,40,88.9,0.45,6.5,20.2,0.322,33.4,68.7,0.487,0.486,18.5,24.6,0.754,12.9,32.1,45,23.8,9.6,4.6,16.2,21.1,105,
