Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Shaquille O'Neal,27,C,79,79,40,12.1,21.1,0.574,0,0,0,12.1,21.1,0.575,0.574,5.5,10.4,0.524,4.3,9.4,13.6,3.8,0.5,3,2.8,3.2,29.7,"MVP-1,DPOY-2,AS,NBA1,DEF2"
2,Kobe Bryant,21,SG,66,62,38.2,8.4,17.9,0.468,0.7,2.2,0.319,7.7,15.7,0.489,0.488,5,6.1,0.821,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3,22.5,"MVP-12,DPOY-5,AS,NBA2,DEF1"
3,Glen Rice,32,SF,80,80,31.6,5.3,12.3,0.43,1.1,2.9,0.367,4.2,9.4,0.449,0.472,4.3,5,0.874,0.7,3.4,4.1,2.2,0.6,0.2,1.4,2.2,15.9,
4,Ron Harper,36,PG,80,78,25.5,2.7,6.6,0.399,0.4,1.3,0.311,2.2,5.3,0.421,0.43,1.3,1.8,0.68,1.2,3,4.2,3.4,1.1,0.5,1.7,2.1,7,
5,A.C. Green,36,PF,82,82,23.5,2.1,4.7,0.447,0,0,0.25,2.1,4.7,0.449,0.448,0.8,1.2,0.695,2,4,5.9,1,0.6,0.2,0.6,1.5,5,
6,Derek Fisher,25,PG,78,22,23.1,2.1,6.2,0.346,0.7,2.1,0.313,1.5,4.1,0.363,0.4,1.3,1.9,0.724,0.3,1.6,1.8,2.8,1,0,1,1.9,6.3,
7,Robert Horry,29,PF,76,0,22.2,2.1,4.8,0.438,0.4,1.2,0.309,1.7,3.5,0.483,0.478,1.2,1.5,0.788,1.8,3,4.8,1.6,1.1,1.1,1,2.5,5.7,
8,Tyronn Lue,22,PG,8,0,18.3,2.4,4.9,0.487,0.5,1,0.5,1.9,3.9,0.484,0.538,0.8,1,0.75,0.3,1.3,1.5,2.1,0.4,0,1.1,2.1,6,
9,Rick Fox,30,SF,82,1,18,2.5,6.1,0.414,0.7,2.2,0.326,1.8,3.9,0.464,0.473,0.8,1,0.808,0.8,1.6,2.4,1.7,0.6,0.3,1.1,2.5,6.5,
10,Brian Shaw,33,SG,74,2,16.9,1.7,4.4,0.382,0.2,0.8,0.31,1.4,3.6,0.398,0.41,0.6,0.7,0.759,0.6,2.3,2.9,2.7,0.5,0.2,1,1.4,4.1,
11,John Celestand,22,PG,16,0,11.6,0.9,2.8,0.333,0.1,0.6,0.222,0.8,2.3,0.361,0.356,0.3,0.4,0.833,0.1,0.6,0.7,1.3,0.4,0,1,1.4,2.3,
12,Devean George,22,SF,49,1,7,1.1,2.9,0.389,0.3,1,0.34,0.8,2,0.412,0.444,0.6,0.8,0.659,0.6,0.9,1.5,0.2,0.2,0.1,0.4,1.1,3.2,
13,John Salley,35,C,45,3,6.7,0.6,1.5,0.362,0,0,,0.6,1.5,0.362,0.362,0.5,0.6,0.75,0.4,1,1.4,0.6,0.2,0.3,0.4,1.5,1.6,
14,Travis Knight,25,C,63,0,6.5,0.7,1.9,0.39,0,0,,0.7,1.9,0.39,0.39,0.3,0.4,0.607,0.7,1.3,2,0.4,0.1,0.4,0.4,1.4,1.7,
15,Sam Jacobson,24,PG,3,0,6,1.7,3,0.556,0,0,,1.7,3,0.556,0.556,0,0.7,0,0,0.3,0.3,0.7,0.3,0,0.7,0.3,3.3,
