Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Darrell Armstrong,31,PG,82,82,31.6,5.9,13.6,0.433,1.7,4.9,0.34,4.2,8.7,0.485,0.494,2.7,3,0.911,0.8,2.5,3.3,6.1,2.1,0.1,3,1.7,16.2,MVP-13
2,Ron Mercer,23,SG,31,31,31.3,6.1,15.1,0.402,0,0.3,0,6.1,14.8,0.41,0.402,3,3.8,0.79,1.1,2,3.2,1.7,1.4,0.3,2.1,2.5,15.2,
3,Bo Outlaw,28,PF,82,55,28.4,2.5,4.1,0.602,0,0,0,2.5,4.1,0.607,0.602,1,2,0.506,2.5,3.9,6.4,3,1.4,1.8,1.6,2.5,6,DPOY-8
4,Tariq Abdul-Wahad,25,SG,46,46,26.2,4.8,11.2,0.433,0,0.5,0.095,4.8,10.7,0.447,0.435,2.5,3.3,0.762,1.7,3.5,5.2,1.6,1.2,0.3,1.9,2.5,12.2,
5,Ben Wallace,25,PF,81,81,24.2,2.1,4.1,0.503,0,0,,2.1,4.1,0.503,0.503,0.7,1.4,0.474,2.6,5.6,8.2,0.8,0.9,1.6,0.8,2,4.8,
6,Chris Gatling,32,PF,45,0,23.1,4.7,10.3,0.455,0.2,0.5,0.304,4.5,9.8,0.462,0.462,3.8,5.4,0.698,2,4.6,6.6,0.9,1.1,0.2,2.3,3.2,13.3,
7,John Amaechi,29,C,80,53,21.1,3.8,8.8,0.437,0,0.1,0.167,3.8,8.7,0.439,0.438,2.8,3.6,0.766,0.8,2.6,3.3,1.2,0.4,0.5,1.7,2,10.5,
8,Monty Williams,28,SF,75,23,20,3.5,7.2,0.489,0,0.1,0.4,3.5,7.1,0.49,0.491,1.6,2.2,0.741,1.3,2.1,3.3,1.4,0.6,0.2,1.5,2.5,8.7,
9,Chucky Atkins,25,PG,82,0,19.8,3.8,9,0.424,0.7,2,0.35,3.1,7,0.445,0.462,1.2,1.6,0.729,0.2,1.3,1.5,3.7,0.6,0,1.7,1.7,9.5,
10,Pat Garrity,23,SF,82,1,18,3.1,7.1,0.441,1,2.4,0.401,2.2,4.7,0.461,0.509,1,1.4,0.721,0.5,2,2.6,0.7,0.4,0.2,1,2.4,8.2,
11,Corey Maggette,20,SF,77,5,17.8,2.9,6.1,0.478,0,0.1,0.182,2.9,5.9,0.485,0.48,2.5,3.4,0.751,1.6,2.3,3.9,0.8,0.3,0.3,1.8,2.2,8.4,
12,Michael Doleac,22,C,81,29,16.5,3,6.6,0.452,0,0,0.5,3,6.6,0.452,0.453,1,1.2,0.842,1.1,3,4.1,0.8,0.4,0.4,0.8,2.8,7,
13,Matt Harpring,23,SF,4,0,15.8,1,4.3,0.235,0.5,0.5,1,0.5,3.8,0.133,0.294,1.5,1.8,0.857,1.3,1.8,3,2,1.3,0.3,0.3,1.8,4,
14,Anthony Johnson,25,PG,18,4,11.9,1.4,3.4,0.426,0.1,0.3,0.2,1.4,3.1,0.446,0.434,0.5,0.8,0.6,0.3,0.3,0.7,0.7,0.6,0.1,0.4,0.9,3.4,
15,Anthony Parker,24,SG,16,0,11.6,1.5,3.6,0.421,0.1,0.9,0.071,1.4,2.7,0.535,0.43,0.5,0.7,0.727,0.3,1.4,1.7,0.6,0.5,0.3,0.7,0.8,3.6,
16,Earl Boykins,23,PG,1,0,8,3,4,0.75,0,0,,3,4,0.75,0.75,0,0,,1,0,1,3,0,0,0,0,6,
17,Kiwane Lemorris Garris,25,SG,3,0,7.7,0.7,3.3,0.2,0,0.3,0,0.7,3,0.222,0.2,0,0,,0,0.3,0.3,0.7,0,0,0.3,0,1.3,
18,Derek Strong,31,PF,20,0,7.4,1.1,2.4,0.438,0.1,0.2,0.25,1,2.2,0.455,0.448,0.6,0.7,0.786,0.6,1.7,2.2,0.2,0.3,0.1,0.6,0.8,2.7,
19,Johnny Taylor,25,SF,5,0,5.8,1,2.4,0.417,0.2,0.2,1,0.8,2.2,0.364,0.458,0,0,,0.4,0.6,1,0.2,0.2,0.2,0.4,0.8,2.2,
,Team Totals,,,82,82,240.9,38.6,85.5,0.452,3.6,10.6,0.338,35.1,74.9,0.468,0.473,19.2,26.1,0.735,14,31,44.9,20.8,9.1,5.7,17.6,24,100.1,
