Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Stephon Marbury,22,PG,74,74,38.9,7.7,17.8,0.432,0.9,3.1,0.283,6.8,14.6,0.464,0.457,5.9,7.2,0.813,0.8,2.4,3.2,8.4,1.5,0.2,3.6,2.6,22.2,NBA3
2,Keith Van Horn,24,PF,80,80,34.8,7,15.7,0.445,1.1,2.9,0.368,5.9,12.9,0.462,0.478,4.2,4.9,0.847,2.5,6,8.5,2,0.8,0.8,3.1,3.2,19.2,
3,Kendall Gill,31,SF,76,75,31,5.2,12.6,0.414,0.3,1,0.256,4.9,11.6,0.428,0.425,2.4,3.4,0.71,1.1,2.6,3.7,2.8,1.8,0.5,1.2,2.8,13.1,DPOY-8
4,Kerry Kittles,25,SG,62,61,30.6,4.9,11.3,0.437,1.5,3.9,0.4,3.4,7.4,0.456,0.506,1.6,2,0.795,0.7,2.9,3.6,2.3,1.3,0.3,0.9,1.9,13,
5,Jamie Feick,25,C,81,17,27.7,2.2,5.2,0.428,0,0,1,2.2,5.2,0.424,0.431,1.2,1.6,0.707,3.3,6.1,9.3,0.8,0.5,0.5,0.7,2.5,5.7,
6,Johnny Newman,36,SF,82,9,21.5,3.4,7.6,0.446,0.9,2.3,0.379,2.5,5.3,0.476,0.504,2.3,2.8,0.838,0.5,1.4,1.9,0.8,0.6,0.1,1.1,2.5,10,
7,Lucious Harris,29,SG,77,11,19.6,2.6,6,0.428,0.5,1.5,0.33,2.1,4.5,0.46,0.469,1,1.3,0.798,0.7,1.7,2.4,1.3,0.8,0.1,0.5,1.3,6.7,
8,Scott Burrell,29,SF,74,9,18.1,2.2,5.7,0.394,1.1,3.1,0.353,1.1,2.5,0.444,0.492,0.5,0.7,0.78,0.9,2.6,3.5,1,0.9,0.6,0.5,2.3,6.1,
9,Jim McIlvaine,27,C,66,53,15.9,1,2.3,0.416,0,0,,1,2.3,0.416,0.416,0.4,0.8,0.518,1.6,1.9,3.5,0.5,0.4,1.8,0.6,3.1,2.4,
10,Sherman Douglas,33,PG,20,2,15.5,2.3,4.5,0.5,0.3,0.8,0.313,2,3.7,0.541,0.528,1.3,1.4,0.893,0.7,0.8,1.5,1.7,0.9,0,1.2,1.3,6,
11,Elliot Perry,30,PG,60,5,13.4,2.1,4.9,0.435,0.2,0.7,0.282,2,4.3,0.459,0.454,0.8,1,0.806,0.2,0.8,1,2.3,0.7,0,1,0.8,5.3,
12,Michael Cage,38,C,20,7,12.1,0.6,1.2,0.5,0,0,,0.6,1.2,0.5,0.5,0.2,0.2,1,1.7,2.4,4.1,0.5,0.4,0.4,0.2,1.5,1.4,
13,Evan Eschmeyer,24,C,31,5,12,1.2,2.3,0.528,0,0,,1.2,2.3,0.528,0.528,0.5,1,0.5,1.3,2.2,3.5,0.7,0.3,0.7,0.7,2.7,2.9,
14,Gheorghe Mureșan,28,C,30,2,8.9,1.4,3,0.456,0,0,,1.4,3,0.456,0.456,0.8,1.3,0.605,0.8,1.5,2.3,0.3,0,0.4,0.5,1.7,3.5,
15,Mark Hendrickson,25,PF,5,0,4.8,0,0.2,0,0,0,,0,0.2,0,0,0.2,0.4,0.5,0.2,0.2,0.4,0.6,0,0,0,0.2,0.2,
,Team Totals,,,82,82,241.8,36.3,83.9,0.433,5.8,16.8,0.347,30.5,67.2,0.454,0.468,19.5,24.9,0.784,12.7,28.2,40.9,20.6,8.8,4.8,13.6,23.3,98,
