Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Ron Mercer,23,SG,37,37,38.1,7.4,16.5,0.444,0.4,1.1,0.385,6.9,15.5,0.449,0.457,3.2,4.1,0.788,0.8,3.3,4.1,2.8,0.9,0.4,2.4,2,18.3,
2,Nick Van Exel,28,PG,79,79,37.3,6,15.4,0.39,1.7,5.1,0.332,4.3,10.3,0.419,0.445,2.5,3,0.817,0.4,3.5,3.9,9,0.9,0.1,2.8,1.9,16.1,
3,Antonio McDyess,25,PF,81,81,33.3,7.6,15,0.507,0,0,0,7.6,14.9,0.508,0.507,4,6.4,0.626,2.9,5.6,8.5,2,0.9,1.7,2.8,3.9,19.1,
4,Raef LaFrentz,23,C,81,80,30.1,4.8,10.9,0.446,0.7,2.3,0.328,4.1,8.6,0.477,0.48,2,2.9,0.686,2.1,5.8,7.9,1.2,0.5,2.2,1.2,3.6,12.4,
5,George McCloud,32,SF,78,11,27.2,3.4,8.2,0.417,1.4,3.6,0.378,2,4.6,0.448,0.501,1.9,2.3,0.818,0.9,2.7,3.7,3.2,0.6,0.3,1.7,2.3,10.1,
6,James Posey,23,SF,81,77,25.3,2.8,6.6,0.429,1,2.7,0.373,1.8,3.9,0.468,0.506,1.5,1.9,0.8,1,2.9,3.9,1.8,1.2,0.4,1.2,2.6,8.2,
7,Tariq Abdul-Wahad,25,SG,15,10,24.9,3.4,8.7,0.389,0.1,0.1,0.5,3.3,8.6,0.388,0.393,2.1,2.8,0.738,1.6,1.9,3.5,1.7,0.4,0.8,1.3,2.1,8.9,
8,Chauncey Billups,23,SG,13,5,23.5,2.6,7.8,0.337,0.5,3.2,0.171,2.1,4.6,0.45,0.371,2.8,3.4,0.841,0.6,2,2.6,3,0.8,0.2,1.8,2.1,8.6,
9,Keon Clark,24,C,81,20,22.8,3.5,6.5,0.542,0,0.1,0.125,3.5,6.4,0.548,0.543,1.5,2.2,0.688,2,4.2,6.2,0.9,0.6,1.4,1.5,2.9,8.6,
10,Chris Gatling,32,PF,40,0,19.3,3.9,8.5,0.456,0.3,1.2,0.234,3.6,7.3,0.491,0.472,2.4,3.2,0.742,1.6,3.6,5.1,0.8,0.9,0.3,1.6,2.6,10.4,
11,Bryant Stith,29,SG,45,6,15.4,1.9,4.2,0.455,0.4,1.2,0.304,1.5,3,0.519,0.5,1.4,1.7,0.831,0.5,1.4,1.9,1.4,0.4,0.3,0.7,1.2,5.6,
12,Chris Herren,24,PG,45,1,13.3,1,2.8,0.363,0.5,1.5,0.358,0.5,1.3,0.368,0.46,0.6,0.9,0.675,0.3,0.9,1.2,2.5,0.3,0,0.9,1.6,3.1,
13,Ryan Bowen,24,SF,52,0,11.3,0.9,2.3,0.393,0,0.2,0.111,0.9,2.1,0.417,0.397,0.7,1,0.717,1.4,0.8,2.2,0.4,0.8,0.3,0.3,1.8,2.5,
14,Cory Alexander,26,PG,29,2,11.3,1,3.4,0.286,0.3,1.2,0.257,0.7,2.2,0.302,0.332,0.6,0.8,0.773,0.3,1.2,1.4,2,0.8,0.1,1,1.3,2.8,
15,Roy Rogers,26,PF,40,0,8.9,0.9,2.2,0.398,0,0,0,0.9,2.2,0.402,0.398,0.5,1,0.463,0.8,1.2,2,0.2,0.1,1,0.3,0.9,2.2,
16,Popeye Jones,29,PF,40,1,8.3,1.1,2.6,0.423,0.1,0.1,0.667,1.1,2.5,0.416,0.433,0.4,0.5,0.737,1,1.6,2.6,0.5,0.1,0.2,0.3,1.3,2.6,
17,Johnny Taylor,25,SF,1,0,5,0,2,0,0,0,,0,2,0,0,0,0,,0,1,1,0,0,0,0,1,0,
,Team Totals,,,82,82,242.1,37.3,84.3,0.442,5.7,17,0.336,31.5,67.2,0.469,0.476,18.7,25.8,0.724,13.1,31.6,44.7,23.3,6.8,7.5,15.6,23.9,99,
