Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jalen Rose,27,SF,80,80,37.2,7,15,0.471,1,2.5,0.393,6.1,12.5,0.486,0.503,3.2,3.8,0.827,0.5,4.3,4.8,4,1.1,0.6,2.4,2.9,18.2,"MVP-13,MIP-1"
2,Reggie Miller,34,SG,81,81,36.9,5.8,12.9,0.448,2,5,0.408,3.7,7.9,0.473,0.527,4.6,5,0.919,0.6,2.3,3,2.3,1,0.3,1.6,1.6,18.1,"MVP-13,AS"
3,Dale Davis,30,C,74,72,28.7,4.1,8.1,0.502,0,0,,4.1,8.1,0.502,0.502,1.9,2.7,0.685,3.5,6.4,9.9,0.9,0.7,1.3,1.2,2.7,10,AS
4,Mark Jackson,34,PG,81,81,27,3,7,0.432,1.1,2.7,0.403,1.9,4.3,0.45,0.51,1,1.2,0.806,0.8,2.9,3.7,8,0.9,0.1,2.1,1.4,8.1,
5,Rik Smits,33,C,79,79,23.4,5.5,11.3,0.484,0,0,0,5.5,11.3,0.485,0.484,2,2.7,0.739,1.2,3.9,5.1,1.1,0.3,1.3,1.4,3.2,12.9,
6,Austin Croshere,24,PF,81,14,23.3,3.6,8.1,0.441,0.8,2.1,0.362,2.8,5.9,0.47,0.489,2.4,2.9,0.848,1.7,4.7,6.4,1.1,0.5,0.7,1.5,2.5,10.3,
7,Travis Best,27,PG,82,0,20.6,3.3,6.8,0.483,0.4,1.1,0.376,2.9,5.7,0.504,0.514,1.9,2.3,0.821,0.2,1.5,1.7,3.3,0.9,0.1,1.3,2.5,8.9,
8,Sam Perkins,38,PF,81,0,20,2.3,5.4,0.417,1.1,2.7,0.408,1.2,2.8,0.426,0.518,1,1.2,0.825,0.8,2.8,3.6,0.8,0.4,0.4,0.8,1.7,6.6,
9,Derrick McKey,33,SF,32,0,19.8,1.3,3.4,0.398,0.3,0.7,0.435,1,2.7,0.388,0.444,1.3,1.8,0.768,0.9,3.3,4.2,1.1,0.9,0.4,0.6,2.5,4.3,
10,Al Harrington,19,PF,50,0,17.1,2.4,5.3,0.458,0.2,0.7,0.235,2.3,4.6,0.491,0.473,1.6,2.2,0.703,0.9,2.2,3.2,0.8,0.5,0.2,1.3,2.6,6.6,
11,Chris Mullin,36,SG,47,2,12.4,1.7,4,0.428,1,2.3,0.409,0.7,1.6,0.455,0.548,0.8,0.9,0.902,0.3,1.3,1.6,0.8,0.6,0.2,0.6,1.3,5.1,
12,Žan Tabak,29,C,18,0,6.3,0.9,1.9,0.471,0,0,,0.9,1.9,0.471,0.471,0.3,0.4,0.625,0.9,0.9,1.8,0.2,0.2,0.5,0.6,0.7,2.1,
13,Jonathan Bender,19,SF,24,1,5.4,1,2.9,0.329,0.1,0.5,0.167,0.9,2.4,0.362,0.343,0.7,1,0.667,0.2,0.7,0.9,0.1,0,0.2,0.3,0.8,2.7,
14,Jeff Foster,23,C,19,0,4.5,0.7,1.2,0.565,0,0.1,0,0.7,1.2,0.591,0.565,0.9,1.3,0.68,0.6,1.1,1.7,0.3,0.3,0.1,0.1,0.9,2.3,
,Team Totals,,,82,82,240.6,37.2,81,0.459,7.1,18.1,0.392,30,62.8,0.478,0.503,19.9,24.5,0.811,10.3,31.9,42.1,22.6,6.8,5.1,14.1,21.8,101.3,
