Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jamal Mashburn,30,SF,82,81,40.5,8.2,19.3,0.422,1.5,3.7,0.389,6.7,15.6,0.43,0.46,3.8,4.5,0.848,0.8,5.3,6.1,5.6,1,0.2,2.8,2.4,21.6,"MVP-11,AS,NBA3"
2,Baron Davis,23,PG,50,47,37.8,6.6,16,0.416,2,5.7,0.35,4.7,10.3,0.452,0.478,1.9,2.6,0.71,1.1,2.6,3.7,6.4,1.8,0.4,2.8,3,17.1,
3,David Wesley,32,SG,73,73,37.1,6.2,14.2,0.433,1.8,4.3,0.424,4.3,9.9,0.437,0.498,2.5,3.2,0.781,0.5,1.9,2.4,3.4,1.5,0.1,1.8,2.4,16.7,
4,P.J. Brown,33,PF,78,78,33.4,4.1,7.7,0.531,0,0,0,4.1,7.7,0.533,0.531,2.5,3,0.836,3.1,5.9,9,1.9,0.9,1,1.3,2.6,10.7,
5,Jamaal Magloire,24,C,82,82,29.8,3.7,7.7,0.48,0,0,0,3.7,7.7,0.483,0.48,2.8,3.9,0.717,3.2,5.7,8.8,1.1,0.6,1.4,1.9,3.4,10.3,
6,Courtney Alexander,25,PG,66,7,20.6,2.9,7.7,0.382,0.3,0.9,0.333,2.6,6.8,0.388,0.401,1.8,2.2,0.808,0.6,1.2,1.8,1.2,0.5,0.1,1,1.9,7.9,
7,Kenny Anderson,32,PG,23,1,19.4,2.7,6.5,0.407,0,0.1,0.5,2.6,6.4,0.405,0.41,0.7,1,0.727,0.6,1.3,2,3.3,0.8,0.2,1.8,1.9,6,
8,George Lynch,32,SG,81,32,18.5,1.8,4.4,0.409,0.3,1,0.354,1.5,3.5,0.425,0.448,0.5,0.9,0.554,1.7,2.6,4.4,1.3,0.8,0.2,0.6,1.7,4.5,
9,Elden Campbell,34,C,41,1,16.7,2.5,6,0.409,0,0,0,2.5,6,0.411,0.409,2.3,2.8,0.809,0.8,2.6,3.5,1,0.6,0.8,1,2.5,7.2,
10,Robert Pack,33,PG,28,4,15.7,1.9,4.6,0.403,0,0.2,0,1.9,4.4,0.419,0.403,1.5,2,0.745,0.4,1.4,1.8,2.9,0.9,0,1.4,1.3,5.2,
11,Jérôme Moïso,24,C,51,1,12.6,1.7,3.4,0.52,0,0,,1.7,3.4,0.52,0.52,0.5,0.8,0.659,1.2,2.3,3.5,0.4,0.4,0.9,0.9,1.7,4,
12,Stacey Augmon,34,SG,70,3,12.3,1.1,2.7,0.411,0,0.1,0,1.1,2.6,0.427,0.411,0.8,1,0.75,0.4,1.3,1.7,1,0.4,0.1,0.6,1.1,3,
13,Robert Traylor,25,C,69,0,12.3,1.5,3.4,0.443,0,0,0.333,1.5,3.4,0.444,0.445,0.8,1.3,0.648,1.6,2.2,3.8,0.7,0.7,0.5,0.8,2.2,3.9,
14,Bryce Drew,28,PG,13,0,6.1,0.6,2.1,0.296,0.2,0.5,0.429,0.4,1.5,0.25,0.352,0,0,,0.3,0.7,1,0.8,0.2,0,0.2,0.2,1.5,
15,Randy Livingston,27,PG,2,0,6,1,2,0.5,0,0,,1,2,0.5,0.5,1,1,1,0,0,0,0.5,0,0,0,0,3,
16,Kirk Haston,23,SF,12,0,4.8,0.2,1.4,0.118,0,0.3,0,0.2,1.2,0.143,0.118,0.2,0.3,0.5,0,0.6,0.6,0.3,0,0.4,0.6,0.8,0.5,
,Team Totals,,,82,82,242.7,35.5,81.6,0.435,4.9,13.1,0.376,30.6,68.5,0.447,0.465,17.9,23.3,0.768,13.4,30.2,43.6,22,8,4.8,14.8,21.6,93.9,
