Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Vince Carter,23,SF,82,82,38.1,9.6,20.7,0.465,1.2,2.9,0.403,8.5,17.8,0.475,0.493,5.3,6.7,0.791,1.8,4,5.8,3.9,1.3,1.1,2.2,3.2,25.7,"MVP-10,AS,NBA3"
2,Antonio Davis,31,C,79,78,31.4,4,9,0.44,0,0,,4,9,0.44,0.44,3.6,4.7,0.765,3,5.8,8.8,1.3,0.5,1.3,1.5,3.4,11.5,
3,Tracy McGrady,20,SF,79,34,31.2,5.8,12.9,0.451,0.2,0.8,0.277,5.6,12.1,0.463,0.46,3.5,5,0.707,2.4,4,6.3,3.3,1.1,1.9,2,2.5,15.4,6MOY-3
4,Doug Christie,29,SG,73,73,31,4.3,10.5,0.407,1.4,3.8,0.36,2.9,6.7,0.434,0.472,2.5,3,0.843,0.9,3,3.9,4.4,1.4,0.6,2,2.3,12.4,
5,Charles Oakley,36,PF,80,80,30.4,2.9,7,0.418,0.2,0.5,0.341,2.8,6.5,0.424,0.43,0.8,1.1,0.776,1.5,5.3,6.8,3.2,1.3,0.6,1.9,3.7,6.9,
6,Muggsy Bogues,35,PG,80,5,21.6,2,4.5,0.439,0.2,0.6,0.333,1.8,3.8,0.456,0.462,1,1.1,0.908,0.3,1.4,1.7,3.7,0.8,0.1,0.7,1.5,5.1,
7,Kevin Willis,37,PF,79,1,21.3,3,7.2,0.415,0,0,0.333,3,7.2,0.415,0.416,1.7,2.1,0.799,2.5,3.6,6.1,0.6,0.5,0.6,1.2,3.2,7.6,
8,Dee Brown,31,PG,38,12,17.7,2.4,6.8,0.36,1.8,4.9,0.358,0.7,1.9,0.366,0.49,0.3,0.4,0.688,0.2,1.2,1.4,2.3,0.6,0.1,1,1.6,6.9,
9,Dell Curry,35,SG,67,9,16.3,2.9,6.8,0.427,1.4,3.6,0.393,1.5,3.2,0.467,0.532,0.4,0.5,0.75,0.2,1.3,1.5,1.3,0.5,0.1,0.6,1,7.6,
10,Alvin Williams,25,PG,55,28,14.2,2.1,5.2,0.397,0.3,1,0.291,1.8,4.2,0.422,0.425,0.9,1.2,0.738,0.5,1.1,1.5,2.3,0.6,0.2,0.9,1.4,5.3,
11,Michael Stewart,24,C,42,1,9.3,0.5,1.3,0.377,0,0,,0.5,1.3,0.377,0.377,0.4,0.8,0.563,0.8,1.5,2.2,0.1,0.1,0.5,0.4,1.9,1.4,
12,John Thomas,24,C,55,6,8.7,0.9,1.9,0.458,0,0,0,0.9,1.9,0.462,0.458,0.3,0.7,0.39,0.7,0.7,1.4,0.2,0.2,0.3,0.3,1.9,2.1,
13,Aleksandar Radojević,23,C,3,0,8,0.7,2.3,0.286,0,0,,0.7,2.3,0.286,0.286,1,2,0.5,0.7,2,2.7,0.3,0.7,0.3,1.7,1.7,2.3,
14,Haywoode Workman,34,PG,13,1,7.8,0.6,2.2,0.286,0.2,1.1,0.214,0.4,1.1,0.357,0.339,0.1,0.2,0.5,0,0.7,0.7,1.3,0.7,0,0.3,1.1,1.5,
15,Antonio Lang,27,SF,7,0,4.6,0,0.7,0,0,0,,0,0.7,0,0,0.4,0.6,0.75,0,0.7,0.7,0.1,0.6,0.1,0.3,1,0.4,
16,Sean Marks,24,PF,5,0,2.4,0.4,1.2,0.333,0,0.2,0,0.4,1,0.4,0.333,0.8,0.8,1,0,0.4,0.4,0,0.2,0.2,0.6,0.6,1.6,
,Team Totals,,,82,82,240.9,36.3,83.9,0.433,5.2,14.3,0.363,31.2,69.6,0.447,0.464,19.3,25.2,0.765,13.4,29.9,43.3,23.7,8.1,6.6,13.9,24.3,97.2,
