Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Tim Duncan,23,PF,74,74,38.9,8.5,17.3,0.49,0,0.1,0.091,8.5,17.2,0.494,0.491,6.2,8.1,0.761,3.5,8.9,12.4,3.2,0.9,2.2,3.3,2.8,23.2,"MVP-5,AS,NBA1,DEF1"
2,David Robinson,34,C,80,80,32,6.6,12.9,0.512,0,0,0,6.6,12.9,0.513,0.512,4.6,6.4,0.726,2.4,7.2,9.6,1.8,1.2,2.3,2.1,3.1,17.8,"AS,NBA3"
3,Avery Johnson,34,PG,82,82,31.4,4.9,10.4,0.473,0,0.1,0.111,4.9,10.3,0.477,0.474,1.4,1.9,0.735,0.4,1.5,1.9,6,0.9,0.2,1.7,1.8,11.2,
4,Mario Elie,36,SF,79,79,28.1,2.5,5.8,0.427,0.9,2.4,0.398,1.5,3.4,0.446,0.508,1.6,1.9,0.846,0.6,2.5,3.2,2.4,0.9,0.1,1.6,2,7.5,
5,Terry Porter,36,PG,68,8,23.7,3,6.8,0.447,1.3,3,0.435,1.7,3.8,0.457,0.544,2,2.5,0.806,0.4,2.5,2.8,3.3,0.7,0.1,1.5,1.2,9.4,
6,Jaren Jackson,32,SG,81,12,20.9,2.3,6,0.381,1.3,3.8,0.353,1,2.2,0.429,0.492,0.4,0.6,0.647,0.4,1.8,2.2,1.5,0.7,0.1,0.8,1.9,6.3,
7,Sean Elliott,31,SF,19,19,20.6,2,5.6,0.358,0.7,1.9,0.351,1.3,3.6,0.362,0.42,1.3,1.7,0.781,0.3,2.2,2.5,1.5,0.6,0.1,1,1.8,6,
8,Chucky Brown,31,PF,30,27,20.1,2.7,5.9,0.466,0,0.1,0.333,2.7,5.8,0.468,0.469,0.8,1,0.806,0.4,2.2,2.6,1.4,0.3,0.3,0.9,1.8,6.3,
9,Jerome Kersey,37,SF,72,18,18.2,2,4.9,0.412,0,0.1,0,2,4.8,0.423,0.412,0.4,0.6,0.707,0.8,2.3,3.1,1,0.9,0.7,0.7,2.2,4.5,
10,Malik Rose,25,PF,74,3,18.1,2.4,5.2,0.457,0,0,0.333,2.4,5.2,0.458,0.458,1.9,2.7,0.722,1.8,2.7,4.5,0.6,0.5,0.7,1.3,3.1,6.7,
11,Antonio Daniels,24,SG,68,1,17.6,2.4,5.1,0.474,0.3,1,0.333,2.1,4.1,0.507,0.506,1.1,1.5,0.713,0.2,1,1.3,2.6,0.8,0.1,0.9,1.1,6.2,
12,Samaki Walker,23,PF,71,7,13.8,1.9,4.3,0.449,0,0,,1.9,4.3,0.449,0.449,1.2,1.8,0.683,1.1,2.7,3.8,0.5,0.1,0.5,0.9,1.5,5.1,
13,Derrick Dial,24,SG,8,0,11.9,2.1,5.8,0.37,0.4,1.5,0.25,1.8,4.3,0.412,0.402,0.4,0.6,0.6,1.8,1.5,3.3,0.6,0.1,0.1,0.8,1.3,5,
14,Steve Kerr,34,PG,32,0,8.4,1,2.3,0.432,0.5,1,0.516,0.5,1.3,0.372,0.541,0.3,0.3,0.818,0.1,0.5,0.6,0.4,0.1,0,0.2,0.4,2.8,
15,Felton Spencer,32,C,26,0,5.7,0.6,1.3,0.455,0,0,,0.6,1.3,0.455,0.455,0.8,1.2,0.667,0.6,0.9,1.5,0.1,0.2,0.3,0.3,1.2,1.9,
,Team Totals,,,82,82,242.1,36,78,0.462,4,10.8,0.374,32,67.2,0.476,0.488,20.1,27,0.746,11.3,32.5,43.8,22.2,7.5,6.7,15,20.9,96.2,
