Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jason Kidd,26,PG,67,67,39,5.2,12.8,0.409,0.8,2.5,0.337,4.4,10.3,0.427,0.442,3,3.7,0.829,1.4,5.8,7.2,10.1,2,0.4,3.4,2.2,14.3,"MVP-11,DPOY-8,AS,NBA1,DEF2"
2,Anfernee Hardaway,28,SG,60,60,37.6,6.3,13.3,0.474,0.6,1.7,0.324,5.8,11.6,0.496,0.494,3.8,4.8,0.79,1.5,4.3,5.8,5.3,1.6,0.6,2.6,2.7,16.9,
3,Clifford Robinson,33,SF,80,67,35.5,6.6,14.3,0.464,1.5,4.1,0.37,5.1,10.2,0.501,0.517,3.7,4.8,0.782,1.3,3.2,4.5,2.8,1.1,0.8,2.1,3,18.5,"DPOY-8,DEF2"
4,Tom Gugliotta,30,PF,54,54,32.7,5.7,11.9,0.481,0,0.1,0.125,5.7,11.8,0.485,0.481,2.2,2.8,0.775,2.6,5.3,7.9,2.3,1.5,0.6,2,2.8,13.7,
5,Rodney Rogers,28,PF,82,7,27.9,5.2,10.7,0.486,1.4,3.2,0.439,3.8,7.5,0.506,0.551,1.9,3,0.639,1.7,3.8,5.5,2.1,1.1,0.6,2,3.5,13.8,6MOY-1
6,Shawn Marion,21,SF,51,38,24.7,4.4,9.2,0.471,0.1,0.4,0.182,4.3,8.8,0.486,0.476,1.4,1.7,0.847,2.1,4.5,6.5,1.4,0.7,1,1,2.2,10.2,
7,Oliver Miller,29,C,51,9,21.3,2.7,4.6,0.588,0,0,,2.7,4.6,0.588,0.588,1,1.4,0.671,1.7,3.4,5.1,1.3,0.8,1.6,1.5,2.6,6.3,
8,Luc Longley,31,C,72,68,19.7,2.6,5.5,0.466,0,0,,2.6,5.5,0.466,0.466,1.1,1.3,0.825,1.4,3.1,4.5,1.1,0.3,0.6,1.9,3.1,6.3,
9,Kevin Johnson,33,PG,6,0,18.8,2.7,4.7,0.571,0.2,0.2,1,2.5,4.5,0.556,0.589,1.2,1.2,1,0,2.7,2.7,4,0.3,0,1.2,1,6.7,
10,Rex Chapman,32,SG,53,19,18.1,2.3,6,0.388,0.8,2.3,0.333,1.6,3.7,0.421,0.452,1.1,1.5,0.756,0.2,1.3,1.5,1.2,0.4,0,0.7,1.3,6.6,
11,Todd Day,30,SG,58,1,16.2,2.2,5.7,0.394,1.1,2.8,0.388,1.1,2.8,0.4,0.491,1.2,1.9,0.667,0.5,1.7,2.2,1.1,0.8,0.4,0.9,2.2,6.8,
12,Randy Livingston,24,PG,79,15,13.7,2,4.7,0.416,0.2,0.7,0.345,1.7,4,0.428,0.441,0.7,0.8,0.839,0.3,1.3,1.6,2.2,0.6,0.2,1.2,1.6,4.8,
13,Corie Blount,31,PF,38,1,11.7,1.2,2.3,0.494,0,0.1,0,1.2,2.3,0.506,0.494,0.5,0.9,0.576,1.4,1.6,3,0.3,0.4,0.2,0.7,2.1,2.8,
14,Toby Bailey,24,SG,46,2,9.8,1.3,3,0.414,0,0.2,0.2,1.2,2.8,0.431,0.421,1,1.4,0.692,0.6,1,1.6,0.7,0.3,0.1,0.5,1.2,3.5,
15,Don MacLean,30,PF,16,0,8.9,1.1,3.1,0.367,0.1,0.4,0.333,1,2.7,0.372,0.388,0.3,0.4,0.667,0.4,1.1,1.4,0.5,0.1,0.1,0.5,1.5,2.6,
16,Mark West,39,C,22,2,5.8,0.2,0.5,0.417,0,0,,0.2,0.5,0.417,0.417,0.2,0.4,0.625,0.3,1.1,1.4,0.1,0.1,0.2,0.3,1,0.7,
17,Ben Davis,27,PF,5,0,4.4,0.4,1.2,0.333,0,0,,0.4,1.2,0.333,0.333,0,0,,0.6,1.2,1.8,0.4,0.2,0.2,0.6,0.4,0.8,
,Team Totals,,,82,82,241.5,37.7,82.6,0.457,5.6,15.2,0.368,32.1,67.4,0.477,0.491,17.9,23.6,0.759,12.5,31.2,43.7,25.6,9.1,5.3,16.7,24.1,98.9,
