Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Kevin Garnett,23,PF,81,81,40,9.4,18.8,0.497,0.4,1,0.37,9,17.8,0.504,0.507,3.8,5,0.765,2.8,9,11.8,5,1.5,1.6,3.3,2.5,22.9,"MVP-2,DPOY-7,AS,NBA1,DEF1"
2,Terrell Brandon,29,PG,71,71,36.4,6.8,14.7,0.466,0.7,1.9,0.402,6.1,12.8,0.476,0.492,2.6,2.9,0.899,0.6,2.7,3.4,8.9,1.9,0.4,2.6,2.2,17.1,
3,Wally Szczerbiak,22,SF,73,53,29.7,4.7,9.2,0.511,0.4,1.1,0.359,4.3,8.1,0.531,0.532,1.8,2.2,0.826,1.2,2.5,3.7,2.8,0.8,0.3,1.1,2.4,11.6,
4,Malik Sealy,29,SF,82,61,29.2,4.5,9.5,0.476,0.1,0.4,0.286,4.4,9.1,0.485,0.482,2.2,2.7,0.812,1.5,2.8,4.3,2.4,0.9,0.2,1.3,2.4,11.3,
5,Anthony Peeler,30,SG,82,22,25.3,3.9,8.8,0.436,1,3.1,0.333,2.8,5.7,0.491,0.494,1.1,1.3,0.798,0.7,2.1,2.8,2.4,0.8,0.1,1,2.1,9.8,
6,Joe Smith,24,C,78,9,25.3,3.7,8,0.464,0,0,1,3.7,8,0.463,0.465,2.5,3.3,0.756,2.4,3.8,6.2,1.1,0.6,1.1,1.5,3.9,9.9,
7,Rasho Nesterović,23,C,82,55,21,2.5,5.3,0.476,0,0,0,2.5,5.3,0.478,0.476,0.7,1.3,0.573,1.6,3,4.6,1.1,0.3,1,0.9,3.2,5.7,
8,Sam Mitchell,36,SF,66,24,18.6,2.5,5.7,0.447,0.2,0.3,0.435,2.4,5.3,0.448,0.46,1.2,1.4,0.88,0.4,1.7,2.1,1.7,0.4,0.2,0.7,1.8,6.5,
9,Bobby Jackson,26,PG,73,10,14.2,1.9,4.7,0.405,0.2,0.6,0.283,1.7,4.1,0.423,0.423,1,1.3,0.776,0.7,1.4,2.1,2.4,0.7,0.1,0.8,1.6,5.1,
10,Dean Garrett,33,C,56,23,10.8,0.9,1.9,0.444,0,0,,0.9,1.9,0.444,0.444,0.3,0.5,0.692,0.7,1.8,2.5,0.3,0.1,0.7,0.4,1.7,2,
11,William Avery,20,PG,59,1,8.2,0.9,3.1,0.309,0.3,1.1,0.286,0.6,2,0.322,0.359,0.4,0.6,0.667,0.1,0.5,0.7,1.5,0.2,0,0.7,1,2.6,
12,Tom Hammonds,32,PF,56,0,6.6,0.8,1.7,0.433,0,0,,0.8,1.7,0.433,0.433,0.6,1,0.589,0.6,1.2,1.8,0.2,0.1,0.1,0.4,1,2.1,
13,Andrae Patterson,24,PF,5,0,4,0.6,0.8,0.75,0,0,,0.6,0.8,0.75,0.75,0,0,,0.2,0.2,0.4,0.2,0.2,0,0.2,0.8,1.2,
,Team Totals,,,82,82,242.7,39.3,84.3,0.467,3,8.7,0.346,36.3,75.5,0.481,0.485,16.8,21.6,0.78,12.4,30.1,42.5,26.9,7.6,5.4,13.9,23.3,98.5,
