Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Josh Hart,29,SG,77,77,37.6,5.2,10,0.525,1.1,3.3,0.333,4.2,6.7,0.618,0.579,2.1,2.7,0.776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6,
2,Mikal Bridges,28,SF,82,82,37,7.2,14.4,0.5,2,5.6,0.354,5.2,8.8,0.594,0.57,1.2,1.4,0.814,0.9,2.3,3.2,3.7,0.9,0.5,1.6,1.5,17.6,
3,OG Anunoby,27,PF,74,74,36.6,6.6,13.9,0.476,2.3,6.2,0.372,4.3,7.7,0.561,0.559,2.5,3.1,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,18,
4,Jalen Brunson,28,PG,65,65,35.4,9,18.5,0.488,2.3,6.1,0.383,6.7,12.4,0.539,0.551,5.7,6.9,0.821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26,"MVP-10,CPOY-1,AS,NBA2"
5,Karl-Anthony Towns,29,C,72,72,35,8.9,16.9,0.526,2,4.7,0.42,6.9,12.2,0.567,0.584,4.7,5.7,0.829,2.9,9.8,12.8,3.1,1,0.7,2.7,3.5,24.4,"AS,NBA3"
6,Miles McBride,24,PG,64,10,24.9,3.5,8.5,0.406,1.8,4.9,0.369,1.7,3.7,0.455,0.511,0.8,1,0.813,0.7,1.8,2.5,2.9,1,0.3,0.6,1.7,9.5,
7,Precious Achiuwa,25,C,57,10,20.5,2.9,5.7,0.502,0.2,0.6,0.278,2.7,5.1,0.529,0.517,0.7,1.2,0.594,1.8,3.8,5.6,1,0.8,0.7,0.8,1.4,6.6,
8,P.J. Tucker,39,SF,3,1,19.3,1,2.3,0.429,1,2,0.5,0,0.3,0,0.643,0,0,,1.3,1.3,2.7,0,0.3,0.3,0.3,2.7,3,
9,Mitchell Robinson,26,C,17,3,17.1,2.2,3.3,0.661,0,0,,2.2,3.3,0.661,0.661,0.8,1.1,0.684,3.1,2.9,5.9,0.8,0.9,1.1,0.6,1.5,5.1,
10,Delon Wright,32,PG,14,5,16.4,1.6,3.5,0.469,0.6,1.7,0.333,1.1,1.8,0.6,0.551,0.4,0.6,0.667,0.9,0.6,1.4,2.1,0.9,0.2,0.6,0.6,4.3,
11,Landry Shamet,27,SG,50,0,15.2,2.1,4.6,0.461,1.2,3.1,0.397,0.9,1.5,0.595,0.596,0.2,0.4,0.667,0.2,1,1.2,0.5,0.5,0,0.4,1,5.7,
12,Cameron Payne,30,PG,72,5,15.1,2.5,6.2,0.401,1.3,3.6,0.363,1.2,2.6,0.453,0.506,0.7,0.8,0.907,0.2,1.3,1.4,2.8,0.5,0.2,0.7,1.5,6.9,
13,Jericho Sims,26,C,39,5,10.8,0.7,1.2,0.609,0,0,,0.7,1.2,0.609,0.609,0.2,0.3,0.615,1.3,2,3.3,0.6,0.2,0.3,0.5,1.2,1.6,
14,Ariel Hukporti,22,C,25,1,8.7,0.8,1.2,0.677,0,0,,0.8,1.2,0.677,0.677,0.2,0.5,0.462,0.6,1.5,2,0.4,0,0.6,0.8,1.3,1.9,
15,Kevin McCullar Jr.,23,SF,4,0,7.3,0.5,1.8,0.286,0,0.3,0,0.5,1.5,0.333,0.286,0.5,0.5,1,0,2,2,0.5,0.3,0.3,0,1.5,1.5,
16,Tyler Kolek,23,PG,41,0,7.2,0.7,2,0.329,0.3,1.1,0.298,0.3,0.9,0.371,0.415,0.3,0.4,0.765,0.2,0.5,0.7,1.7,0.3,0.1,0.4,0.6,2,
17,Pacome Dadiet,19,SG,18,0,6.2,0.6,1.7,0.323,0.3,1.1,0.316,0.2,0.7,0.333,0.419,0.2,0.3,0.667,0.2,0.8,1,0.3,0.2,0.1,0.2,0.4,1.7,
18,Matt Ryan,27,SF,19,0,3.6,0.5,1.6,0.323,0.3,1,0.316,0.2,0.6,0.333,0.419,0.1,0.1,1,0,0.4,0.4,0.2,0.1,0,0.2,0.1,1.5,
19,Jacob Toppin,24,SF,16,0,3.1,0.2,0.6,0.3,0,0.1,0,0.2,0.5,0.375,0.3,0,0,,0.1,0.6,0.7,0.3,0.1,0,0.1,0.2,0.4,
20,MarJon Beauchamp,24,SF,6,0,2.8,0.8,1.8,0.455,0.2,0.8,0.2,0.7,1,0.667,0.5,0.7,0.7,1,0.3,1.2,1.5,0.2,0.2,0,0.2,0.3,2.5,
21,Anton Watson,24,SF,9,0,2.4,0.4,1,0.444,0,0.1,0,0.4,0.9,0.5,0.444,0,0,,0.1,0.2,0.3,0.2,0.1,0,0.2,0.3,0.9,
