Season,Team,Team_original,Pace
2005-06,Atlanta Hawks,Atlanta Hawks,90.4
2005-06,Boston Celtics,Boston Celtics,92.2
2005-06,Charlotte Bobcats,Charlotte Bobcats,93.4
2005-06,Chicago Bulls,Chicago Bulls,92.9
2005-06,Cleveland Cavaliers,Cleveland Cavaliers,89.8
2005-06,Dallas Mavericks,Dallas Mavericks,87.8
2005-06,Denver Nuggets,Denver Nuggets,93.9
2005-06,Detroit Pistons,Detroit Pistons,86.8
2005-06,Golden State Warriors,Golden State Warriors,93.3
2005-06,Houston Rockets,Houston Rockets,88
2005-06,Indiana Pacers,Indiana Pacers,89.7
2005-06,Los Angeles Clippers,Los Angeles Clippers,91.7
2005-06,Los Angeles Lakers,Los Angeles Lakers,90.9
2005-06,Memphis Grizzlies,Memphis Grizzlies,86.3
2005-06,Miami Heat,Miami Heat,91.6
2005-06,Milwaukee Bucks,Milwaukee Bucks,91.2
2005-06,Minnesota Timberwolves,Minnesota Timberwolves,88.8
2005-06,New Jersey Nets,New Jersey Nets,89.8
2005-06,New Orleans/Oklahoma City Hornets,New Orleans/Oklahoma City Hornets,89
2005-06,New York Knicks,New York Knicks,90.8
2005-06,Orlando Magic,Orlando Magic,88.3
2005-06,Philadelphia 76ers,Philadelphia 76ers,92.7
2005-06,Phoenix Suns,Phoenix Suns,95.8
2005-06,Portland Trail Blazers,Portland Trail Blazers,87.6
2005-06,Sacramento Kings,Sacramento Kings*,91.9
2005-06,San Antonio Spurs,San Antonio Spurs*,88.5
2005-06,Seattle SuperSonics,Seattle SuperSonics,91.6
2005-06,Toronto Raptors,Toronto Raptors,91.1
2005-06,Utah Jazz,Utah Jazz,87.8
2005-06,Washington Wizards,Washington Wizards*,92.3
2006-07,Atlanta Hawks,Atlanta Hawks,90
2006-07,Boston Celtics,Boston Celtics,92
2006-07,Charlotte Bobcats,Charlotte Bobcats,92
2006-07,Chicago Bulls,Chicago Bulls*,93.6
2006-07,Cleveland Cavaliers,Cleveland Cavaliers*,90.8
2006-07,Dallas Mavericks,Dallas Mavericks*,89.5
2006-07,Denver Nuggets,Denver Nuggets*,97.4
2006-07,Detroit Pistons,Detroit Pistons*,87.3
2006-07,Golden State Warriors,Golden State Warriors*,99.2
2006-07,Houston Rockets,Houston Rockets*,90.7
2006-07,Indiana Pacers,Indiana Pacers,92.4
2006-07,Los Angeles Clippers,Los Angeles Clippers,90.8
2006-07,Los Angeles Lakers,Los Angeles Lakers*,93.5
2006-07,Memphis Grizzlies,Memphis Grizzlies,93.6
2006-07,Miami Heat,Miami Heat*,89.9
2006-07,Milwaukee Bucks,Milwaukee Bucks,92.3
2006-07,Minnesota Timberwolves,Minnesota Timberwolves,91
